text,label
"The Earth is flat and the moon landing was staged in a Hollywood basement.",Fake
"Vaccines contain microchips to track citizens, according to an anonymous source.",Fake
"Drinking bleach cures all viral infections immediately.",Fake
"A new study reveals that eating 10 pounds of chocolate daily extends lifespan by 20 years.",Fake
"Aliens have taken over the government and are replacing officials with clones.",Fake
"The stock market experienced a slight dip today following the latest jobs report.",Credible
"Researchers at the local university have discovered a new species of frog in the Amazon.",Credible
"The city council voted 5-2 to approve the new public park funding.",Credible
"NASA successfully launched the new weather satellite into orbit this morning.",Credible
"The annual film festival will take place downtown next weekend, featuring 50 independent films.",Credible
"Some politicians are questioning the exact timeline of the new infrastructure bill.",Suspicious
"Reports suggest the CEO might step down next week, though the company denies it.",Suspicious
"Unconfirmed rumors indicate a major tech company is planning a massive acquisition.",Suspicious
"A leaked memo hints at potential tax changes, but experts remain divided on its authenticity.",Suspicious
"Anonymous sources claim the upcoming phone will feature a holographic display.",Suspicious
